Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2015-09-28,204.32,211.272,204.32,209.02,145.73479358,30152.9815757,206.903106904
2015-09-27,206.5,207.83,204.09,204.09,28.76874493,5924.31952179,205.929022493
2015-09-26,206.989,208.98,205.0,206.5,40.64398027,8395.35537849,206.558396169
2015-09-25,205.324,208.0,203.0,205.099,159.3728547,32929.5789258,206.619747056
2015-09-24,203.254,206.347,201.01,203.272,81.23289938,16519.7387185,203.362662721
2015-09-23,203.075,208.209,201.126,203.18,115.9890947,23646.4646879,203.867999393
2015-09-22,195.0,206.441,195.0,202.123,181.69182541,36747.6061146,202.252391002
2015-09-21,195.9,199.999,193.735,195.0,137.42962678,27147.854687,197.540045208
2015-09-20,197.12,199.778,194.712,195.9,49.33074416,9748.20037647,197.609027443
2015-09-19,198.494,200.0,191.149,196.045,130.14204126,25607.3980724,196.764994804
2015-09-18,203.1,206.31,117.5,198.492,249.94597468,46583.5220069,186.374363766
2015-09-17,196.0,206.305,195.994,203.1,101.59634029,20284.8730088,199.661453856
2015-09-16,195.99,200.648,193.651,196.0,67.50395382,13339.5200725,197.610944509
2015-09-15,195.19,199.746,190.68,198.18,202.19707177,39652.3562549,196.10747034
2015-09-14,199.577,202.12,191.373,195.2,148.33371274,29133.4410103,196.404717931
2015-09-13,208.04,210.455,199.533,201.69,99.97807607,20236.0753537,202.405128696
2015-09-12,209.87,211.9,205.17,207.07,58.14837868,12159.7521872,209.115928307
2015-09-11,209.316,213.976,209.001,210.01,22.49558652,4749.55217348,211.132622359
2015-09-10,209.243,212.0,205.0,211.27,48.65056082,10192.7286227,209.508964562
2015-09-09,218.0,219.13,208.1,209.1,95.79169122,20247.8613402,211.373878907
2015-09-08,212.054,220.0,212.004,215.97,147.78195136,32178.7760455,217.744966482
2015-09-07,211.538,215.0,207.334,212.048,135.60107889,28634.5263464,211.167393215
2015-09-06,209.4,216.0,207.44,210.681,73.25884152,15481.4784513,211.325733934
2015-09-05,204.673,211.035,204.33,207.44,65.20977459,13566.5657988,208.044973075
2015-09-04,204.359,207.09,202.049,207.09,66.66078002,13702.923318,205.562000834
2015-09-03,205.69,205.69,200.887,204.0,84.06980847,17063.3734786,202.966722407
